"document_oj_date" "Official journal date"
"contract_doc_no" "Award notice ID"
"contract_location_nuts" "Contract location NUTS"
"contract_authority_country" "Contracting authority country"
"contract_authority_official_name" "Contracting authority name"
"contract_authority_slug" "Contracting authority SLUG"
"contract_operator_country" "Contractor country"
"contract_operator_official_name" "Contractor name"
"contract_operator_slug" "Contractor SLUG"
"contract_contract_value_cost_eur" "Contract value (€)"
"contract_offers_received_num" "Number offers received"
"document_award_criteria" "Award criteria"
"contract_cpv_code" "CPV code"
